threshold,precision,recall,f1,iou,dice
0.05,0.909826392803671,0.9680719013207824,0.9380458162263141,0.8833205091470063,0.9380458661782214
0.1,0.927016520454252,0.9636715702198011,0.9449886769191265,0.8957143406856055,0.9449887269003416
0.15000000000000002,0.9363295012637153,0.9603826714410595,0.9482035211280446,0.9015086428176149,0.9482035711200119
0.2,0.9427481685013278,0.9575868016882256,0.9501095018812347,0.904960659064845,0.9501095518781945
0.25,0.9477380979894684,0.9549320661985333,0.9513214319501511,0.9071621717949439,0.9513214819494448
0.3,0.9518073733611317,0.952397765280055,0.9521024277961609,0.9085835758002327,0.9521024777961644
0.35000000000000003,0.9554020376905822,0.9499345019406915,0.952660375021561,0.9096003319080184,0.9526604250211577
0.4,0.9585364994564027,0.9473858523721272,0.9529285073441157,0.9100893391990247,0.9529285573424128
0.45,0.961462622090026,0.9447440541898895,0.9530299722447202,0.9102744514992694,0.9530300222408827
0.5,0.9642316853915579,0.9419884077020511,0.9529802205103961,0.910183680074455,0.9529802705035967
0.55,0.9669056582109821,0.9389415541845971,0.9527184004361232,0.9097061347183352,0.9527184504253675
0.6000000000000001,0.9695285422950509,0.9355543318692002,0.9522384483152311,0.908831348311351,0.9522384982993383
0.6500000000000001,0.9721981783836886,0.9318267407558604,0.9515844075845735,0.9076405480878031,0.9515844575621036
0.7000000000000001,0.9747478305405172,0.9275891845050357,0.9505839297126683,0.9058218678554707,0.9505839796819503
0.7500000000000001,0.9772406279405977,0.9226574829033266,0.9491649319107749,0.9032483363165327,0.9491649818695145
0.8,0.9797232122184382,0.9167119668447175,0.9471707289476967,0.8996433228706912,0.9471707788925068
0.8500000000000001,0.982341769803245,0.9091283524385788,0.9443180698391586,0.8945101146885077,0.9443181197642554
0.9000000000000001,0.9853308993660264,0.898030259656444,0.9396571785324516,0.886182519101172,0.9396572284250276
0.9500000000000001,0.9891750917757348,0.8766373632732217,0.929512283453441,0.8683073725755875,0.9295123332715509
