epoch,train_loss,val_loss,val_dice
1,0.4134053611895755,0.281934528726421,0.30989235639572144
2,0.2314148579483762,0.18483945145590663,0.5542371273040771
3,0.15350909006139363,0.1276936536510241,0.6708992719650269
4,0.1046469083843685,0.098847096267084,0.7407194375991821
5,0.0781509086884507,0.0809099705183887,0.7806574702262878
6,0.06549637211199714,0.06542515701116765,0.801286518573761
7,0.05537131520114305,0.05973635105305611,0.8105984330177307
8,0.04146814746992394,0.049316186632229586,0.8535787463188171
9,0.03423367831874292,0.042624401689834515,0.8540192246437073
10,0.034492233367792176,0.04189790590117647,0.8596198558807373
11,0.02669003498361202,0.04002974568504721,0.853129506111145
12,0.023216536802342994,0.0354923959055992,0.8583589792251587
13,0.018921029001796093,0.030843557764406074,0.9019144773483276
14,0.016515210274537482,0.028971614065201587,0.8793400526046753
15,0.014550347058458932,0.028057142700914924,0.883368968963623
16,0.012567564956587944,0.026751814295269856,0.8999736309051514
17,0.01124304566090018,0.025279726269633665,0.8883835673332214
18,0.01078511948374642,0.025617678917638245,0.9058412909507751
19,0.009894079886106326,0.02537932921494421,0.8966802954673767
20,0.008970815160104291,0.026029966317636034,0.9088076949119568
21,0.008296187150898053,0.024060476781825903,0.894544780254364
22,0.008701594212842818,0.03287228230933433,0.8518532514572144
23,0.062237507158248766,0.07166724251243009,0.726688802242279
24,0.035149766848778116,0.042659194135323986,0.8366867303848267
25,0.02190357606795866,0.0420250347379561,0.8529831767082214
